ticker,financial_period,source_name,source_type,source_url,verified_on,eps,book_value_per_share,profit_after_tax,prior_profit_after_tax,revenue,prior_revenue,total_equity,prior_total_equity,ebit,finance_cost,roe_pct,net_margin_pct,interest_cover,dividend_per_share,dividend_years,payout_ratio_pct,earnings_growth_pct,revenue_growth_pct,governance_flag,company,match_score,extraction_confidence,extraction_notes
KE0000000281,FY2025,Kakuzi 2025 annual report,CMA-hosted annual report,https://annualreport.cma.or.ke/media/AGRICULTURAL/Kakuzi/documents/2025.pdf,2026-09-17,,,,,,,5472048.0,5811193.0,396849.0,5.0,,,,,,,,,0,Kakuzi Ord.5.00,100.0,LOW,4 confidence points; manual review before acceptance
KE5000000090,FY2023,Nairobi Business Ventures Ltd 2023 annual report,CMA-hosted annual report,https://annualreport.cma.or.ke/media/COMMERCIAL%20AND%20SERVICES/Nairobi%20Business%20Ventures%20Ltd/documents/2023.pdf,2026-09-17,,,,,,,,,,,,,,,,,,,0,Nairobi Business Ventures Ltd,100.0,LOW,0 confidence points; manual review before acceptance
KE0000000158,FY2025,Diamond Trust Bank Kenya 2025 annual report,CMA-hosted annual report,https://annualreport.cma.or.ke/media/BANKING/Diamond%20Trust%20Bank%20Kenya/documents/2025.pdf,2026-09-17,0.15,,21.4,,45417143.0,39797103.0,101104067.0,81778872.0,13953722.0,,,,,,,,,,0,Diamond Trust Bank Kenya Ltd Ord 4.00,100.0,MEDIUM,8 confidence points; manual review before acceptance
KE0000000554,FY2024,Equity Bank 2024 annual report,CMA-hosted annual report,https://annualreport.cma.or.ke/media/BANKING/Equity%20Bank/documents/2024.pdf,2026-09-17,,,,,,,,,,,,,,,,,,,0,Equity Bank Ltd Ord 0.50,100.0,LOW,0 confidence points; manual review before acceptance
KE0000000315,FY2025,Kenya Commercial Bank 2025 annual report,CMA-hosted annual report,https://annualreport.cma.or.ke/media/BANKING/Kenya%20Commercial%20Bank/documents/2025.pdf,2026-09-17,19.81,,34173.0,40837.0,24.0,7.8,,,-61982.0,,22.5,,,,,,,,0,Kenya Commercial Bank Ltd Ord 1.00,100.0,MEDIUM,9 confidence points; manual review before acceptance
KE0000000406,FY2021,NCBA Group 2021 annual report,CMA-hosted annual report,https://annualreport.cma.or.ke/media/BANKING/NCBA%20Group/documents/2021.pdf,2026-09-17,,,10223643.0,4570867.0,416832.0,408715.0,,,,,13.0,,,,,,,,0,NCBA Ltd 0rd 5.00,100.0,MEDIUM,6 confidence points; manual review before acceptance
KE0000000448,FY2022,Standard Chartered Bank 2022 annual report,CMA-hosted annual report,https://annualreport.cma.or.ke/media/BANKING/Standard%20Chartered%20Bank/documents/2022.pdf,2026-09-17,2019.0,,12057935.0,9043839.0,33092934.0,28302502.0,,,18018015.0,,,,,,,,,,0,Standard Chartered Bank Ltd Ord 5.00,100.0,MEDIUM,7 confidence points; manual review before acceptance
KE0000000125,FY2024,I&M Holdings 2024 annual report,CMA-hosted annual report,https://annualreport.cma.or.ke/media/BANKING/I%26M%20Holdings/documents/2024.pdf,2026-09-17,15.0,,,,17.0,,68543666.0,59252071.0,,,,,,2024.0,,,,,0,IMH Holdings Ltd Ord 1.00,100.0,MEDIUM,7 confidence points; manual review before acceptance
KE5000008986,FY2024,Bank Of Kigali Psc 2024 annual report,CMA-hosted annual report,https://annualreport.cma.or.ke/media/BANKING/Bank%20Of%20Kigali%20Psc/documents/2024.pdf,2026-09-17,,,73869360.0,948319.0,1.7,,,,,33.0,,,,,,,,,0,Bank of Kigali,84.7,LOW,4 confidence points; manual review before acceptance
KE0000000067,FY2025,Barclays Bank 2025 annual report,CMA-hosted annual report,https://annualreport.cma.or.ke/media/BANKING/Barclays%20Bank/documents/2025.pdf,2026-09-17,4.22,,10870.0,14587.0,1.0,,56448.0,63613.0,,,,,,1.35,,,,,0,ABSA Bank Kenya Plc Ord 0.50,100.0,MEDIUM,9 confidence points; manual review before acceptance
KE0000000240,FY2025,Housing Finance 2025 annual report,CMA-hosted annual report,https://annualreport.cma.or.ke/media/BANKING/Housing%20Finance/documents/2025.pdf,2026-09-17,0.75,,1422292.0,1422292.0,,,17.0,674333.0,,,,,,,,,,,0,HFCB Group Plc,100.0,MEDIUM,6 confidence points; manual review before acceptance
KE0000000034,FY2017,Athi River Mining Plc 2017 annual report,CMA-hosted annual report,https://annualreport.cma.or.ke/media/CONSTRUCTION%20AND%20ALLIED/Athi%20River%20Mining%20Plc/documents/2017.pdf,2026-09-17,,,,,8697333.0,12823826.0,,,,5.0,,,,,,,,,0,Athi River Mining Ord 5.00,100.0,LOW,3 confidence points; manual review before acceptance
KE0000000190,FY2023,East African Portland Cement Co.Ltd 2023 annual report,CMA-hosted annual report,https://annualreport.cma.or.ke/media/CONSTRUCTION%20AND%20ALLIED/East%20African%20Portland%20Cement%20Co.Ltd/documents/2023.pdf,2026-09-17,,,541585.0,541585.0,6.0,2953573.0,32780931.0,35849473.0,,12.0,7.0,,,,,,,,0,E.A.Portland Cement Ltd Ord 5.00,57.6,MEDIUM,9 confidence points; manual review before acceptance
KE0000000604,FY2022,Kenya Re-Insurance Corporation 2022 annual report,CMA-hosted annual report,https://annualreport.cma.or.ke/media/INSURANCE/Kenya%20Re-Insurance%20Corporation/documents/2022.pdf,2026-09-17,,,2906368.0,711607.0,23557287.0,3119876.0,32206764.0,8564939.0,,,,,,,,,,,0,Kenya Re-Insurance Corporation Ltd Ord 2.50,100.0,MEDIUM,6 confidence points; manual review before acceptance
KE0000000414,FY2022,Sanlam Kenya Plc 2022 annual report,CMA-hosted annual report,https://annualreport.cma.or.ke/media/INSURANCE/Sanlam%20Kenya%20Plc/documents/2022.pdf,2026-09-17,,,4771.0,3940.0,,,542.0,596.0,,23.0,,,,,,,,,0,Sanlam Insurance Holdings Ltd 0rd 5.00,57.6,LOW,5 confidence points; manual review before acceptance
KE2000002192,FY2022,Britam Holdings Plc 2022 annual report,CMA-hosted annual report,https://annualreport.cma.or.ke/media/INSURANCE/Britam%20Holdings%20Plc/documents/2022.pdf,2026-09-17,0.63,,1691299000.0,72124000.0,38206430.0,40227975.0,20841594.0,19083517.0,,272917.0,,,,,,,,,0,British-American Investments Ord 0.10,100.0,MEDIUM,9 confidence points; manual review before acceptance
KE1000001402,FY2023,Safaricom Ltd 2023 annual report,CMA-hosted annual report,https://annualreport.cma.or.ke/media/TELECOMMUNICATION%20AND%20TECHNOLOGY/Safaricom%20Ltd/documents/2023.pdf,2026-09-17,,,52482.8,67496.1,8.0,,,,84997.4,,,,,-13.7,,,,,0,Safaricom Ltd Ord 0.05,100.0,MEDIUM,6 confidence points; manual review before acceptance
KE3000009674,FY2022,Nairobi Securities Exchange 2022 annual report,CMA-hosted annual report,https://annualreport.cma.or.ke/media/INVESTMENT%20SERVICES/Nairobi%20Securities%20Exchange/documents/2022.pdf,2026-09-17,,,13724.0,132534.0,642764.0,714267.0,1897042.0,2085329.0,,,,,,,,,,,0,Nairobi Securities Exchange 4.00,100.0,MEDIUM,6 confidence points; manual review before acceptance
KE0000000075,FY2022,British American Tobacco Kenya 2022 annual report,CMA-hosted annual report,https://annualreport.cma.or.ke/media/MANUFACTURING%20AND%20ALLIED/British%20American%20Tobacco%20Kenya/documents/2022.pdf,2026-09-17,15.0,,6.0,6.9,7.0,27377922.0,16381947.0,14974368.0,9880351.0,,,,,,,,,,0,British American Tobacco Kenya Ltd Ord 10.00,100.0,MEDIUM,9 confidence points; manual review before acceptance
KE4000001323,FY2021,Flame Tree Group Holdings Ltd 2021 annual report,CMA-hosted annual report,https://annualreport.cma.or.ke/media/MANUFACTURING%20AND%20ALLIED/Flame%20Tree%20Group%20Holdings%20Ltd/documents/2021.pdf,2026-09-17,,,75180433.0,75180433.0,3383108288.0,2910676573.0,2874809728.0,2489049273.0,262783333.0,-150489329.0,,,,,,,,,0,Flame Tree Group Holdings Ltd Ord 0.825,100.0,MEDIUM,8 confidence points; manual review before acceptance
